position_id,source,name,keyword,variants,alive_variants,max_local_quantity
brands:00941,brands,Three Oaks Cider,three-oaks,three-oaks,three-oaks:3,3
brands:00943,brands,White Star,white-star,white-star,white-star:2,2
brands:00945,brands,Woodchuck Hard Cider,woodchuck,woodchuck|woodchuck-hard-cider,woodchuck:1,1
brands:00946,brands,Woodpecker Cider,woodpecker,woodpecker|woodpecker-cider,woodpecker:19,19
brands:00948,brands,Alberta Premium,alberta-premium,alberta-premium,alberta-premium:1,1
brands:00950,brands,Canadian Club,canadian-club,canadian-club|cc,cc:19957,19957
brands:00951,brands,CEO,ceo,ceo,ceo:856,856
brands:00952,brands,Crown Royal,crown-royal,crown-royal,crown-royal:4,4
brands:00957,brands,Pendleton,pendleton,pendleton,pendleton:22,22
brands:00958,brands,Red Bank,red-bank,red-bank,red-bank:18,18
brands:00960,brands,Signal Hill,signal-hill,signal-hill,signal-hill:2,2
brands:00963,brands,Aker,aker,aker,aker:7,7
brands:00964,brands,Angostura,angostura,angostura,angostura:6,6
brands:00965,brands,Antica,antica,antica,antica:37,37
brands:00967,brands,Aperol,aperol,aperol,aperol:23,23
brands:00971,brands,Baldoria,baldoria,baldoria,baldoria:1,1
brands:00972,brands,Barbadillo,barbadillo,barbadillo,barbadillo:3,3
brands:00978,brands,Bordeaux,bordeaux,bordeaux,bordeaux:355,355
brands:00979,brands,Branca,branca,branca,branca:69,69
brands:00980,brands,Breckenridge,breckenridge,breckenridge,breckenridge:39,39
brands:00982,brands,Calissano,calissano,calissano,calissano:2,2
brands:00986,brands,Cinzano,cinzano,cinzano|vermu,vermu:11,11
brands:00989,brands,Cocchi,cocchi,cocchi,cocchi:2,2
brands:00991,brands,Contratto,contratto,contratto,contratto:335,335
brands:00995,brands,Discarded,discarded,discarded,discarded:10,10
brands:00997,brands,Dolin,dolin,dolin,dolin:3,3
brands:00999,brands,Doppelganger,doppelganger,doppelganger,doppelganger:9,9
brands:01009,brands,Forest Spirits,forest-spirits,forest-spirits,forest-spirits:2,2
brands:01010,brands,Gancia,gancia,gancia,gancia:2,2
brands:01018,brands,La Fuerza,la-fuerza,la-fuerza,la-fuerza:26,26
brands:01020,brands,Levi,levi,levi,levi:103,103
brands:01022,brands,Lillet,lillet,lillet,lillet:5,5
brands:01023,brands,Lucano,lucano,lucano,lucano:6,6
brands:01024,brands,Lustau,lustau,lustau,lustau:1,1
brands:01026,brands,Mancino,mancino,mancino,mancino:3,3
brands:01027,brands,Martini,martini,martini,martini:109,109
brands:01028,brands,Mattei,mattei,mattei,mattei:6,6
brands:01030,brands,Midi,midi,midi,midi:603,603
brands:01031,brands,Mondino,mondino,mondino,mondino:1,1
brands:01032,brands,Montenegro,montenegro,montenegro,montenegro:77,77
brands:01035,brands,Nardini,nardini,nardini,nardini:2,2
brands:01038,brands,Nonino,nonino,nonino,nonino:1,1
brands:01040,brands,Otto's,ottos,ottos,ottos:2,2
brands:01044,brands,Picon,picon,picon,picon:23,23
brands:01052,brands,Rinomato,rinomato,rinomato,rinomato:3,3
brands:01055,brands,Sacred,sacred,sacred,sacred:206,206
brands:01056,brands,Sagrado,sagrado,sagrado,sagrado:22,22
brands:01057,brands,Santoni,santoni,santoni,santoni:3,3
brands:01058,brands,Sarti,sarti,sarti,sarti:7,7
brands:01059,brands,Savoia,savoia,savoia,savoia:18,18
brands:01060,brands,Scarpa,scarpa,scarpa,scarpa:22,22
brands:01061,brands,Select,select,select,select:829,829
brands:01064,brands,Somerset,somerset,somerset,somerset:242,242
brands:01065,brands,Sommer,sommer,sommer,sommer:603,603
brands:01066,brands,St Raphael,st-raphael,st-raphael,st-raphael:3,3
brands:01070,brands,Suze,suze,suze,suze:9,9
brands:01073,brands,The London,the-london,the-london,the-london:16,16
brands:01074,brands,Torres,torres,torres,torres:559,559
brands:01075,brands,Turin,turin,turin,turin:68,68
brands:01076,brands,Vault,vault,vault,vault:945,945
brands:01077,brands,Vecchio,vecchio,vecchio,vecchio:134,134
brands:01081,brands,Zucca,zucca,zucca,zucca:70,70
brands:01086,brands,Bitter Truth,bitter-truth,bitter-truth,bitter-truth:3,3
brands:01088,brands,Bob's,bobs,bobs,bobs:254,254
brands:01090,brands,Dillon's,dillons,dillons,dillons:4,4
brands:01091,brands,Droplets,droplets,droplets,droplets:21,21
brands:01093,brands,Ferdinand's,ferdinands,ferdinands,ferdinands:1,1
brands:01096,brands,Miracle Mile,miracle-mile,miracle-mile,miracle-mile:3,3
brands:01102,brands,Seiers,seiers,seiers,seiers:1,1
brands:01103,brands,The Japanese,the-japanese,the-japanese,the-japanese:30,30
brands:01106,brands,Absente,absente,absente,absente:15,15
brands:01108,brands,Adriatico,adriatico,adriatico,adriatico:9,9
brands:01111,brands,Algebra,algebra,algebra,algebra:449,449
brands:01113,brands,Aluna,aluna,aluna,aluna:10,10
brands:01114,brands,Amargo,amargo,amargo,amargo:4,4
brands:01116,brands,Archers,archers,archers,archers:11,11
