keyword,mode,n_positions
diablo,m,9
double-chocolate,m,9
dry-irish,m,9
equinox,m,9
flagstaff,m,9
flensburger,m,9
gage-roads,m,9
ginga-kogen,m,9
great-pumpkin,m,9
greens,m,9
hawkshead,m,9
heritage,m,9
highlander,m,9
hook-ladder,m,9
imperial-brown,m,9
independence,m,9
jolly,m,9
jt-schmids,m,9
kellerbier,m,9
kulmbacher,m,9
landwehr,m,9
lazy-boy,m,9
lion,m,9
little-creatures,m,9
lowenbrau,m,9
mad-anthony,m,9
main-street,m,9
marin,m,9
moosehead,m,9
mornington-peninsula,m,9
oud-bruin,m,9
paradise,m,9
peach,m,9
pegs,m,9
pitfield,m,9
red-rye,m,9
ringwood,m,9
russell,m,9
saku,m,9
santa-maria,m,9
sarmat,m,9
schwartz,m,9
schwarz,m,9
silver-creek,m,9
simcoe,m,9
spaten,m,9
squatters,m,9
strawberry,m,9
struise,m,9
sudwerk,m,9
tatonka,m,9
tavern,m,9
trippel,m,9
tsingtao,m,9
tuatara,m,9
victoria,m,9
wheat-wine,m,9
whiskey,m,9
winter-wheat,m,9
yuengling,m,9
80-shilling,m,8
alpine,m,8
ambacht,m,8
amber-waves,m,8
ballards,m,8
bandersnatch,m,8
bank-street,m,8
bayern,m,8
bierhalle,m,8
big-sky,m,8
black-rock,m,8
blackstone,m,8
blackwater,m,8
blue,m,8
boundary-bay,m,8
caldera,m,8
chateau-bel-air,m,8
cherry-wheat,m,8
crooked-stave,m,8
darkside,m,8
dirty-blonde,m,8
dominator,m,8
dominion,m,8
double-red,m,8
ellis-island,m,8
endless-summer,m,8
english-brown,m,8
everards,m,8
fat-heads,m,8
festbier,m,8
flat-tail,m,8
fosters,m,8
freedom,m,8
gahan-house,m,8
genesee,m,8
ghost-river,m,8
hammerhead-red,m,8
harvest-wheat,m,8
heineken,m,8
hoppy,m,8
hub-city,m,8
india-red,m,8
indian-pale,m,8
innstadt,m,8
king,m,8
kirkland-signature,m,8
kopparbergs,m,8
krombacher,m,8
kross,m,8
lengthwise,m,8
macs,m,8
masthead,m,8
motor-city,m,8
narragansett,m,8
northampton,m,8
nugget,m,8
old-capitol-brew-works,m,8
orion,m,8
ottakringer,m,8
pabst,m,8
pacific,m,8
paper-city,m,8
piranha-pale,m,8
rapscallion,m,8
red-star,m,8
red-truck,m,8
rogue,m,8
rousse,m,8
santas-little-helper,m,8
session,m,8
shenandoah,m,8
single-hop-imperial,m,8
spanish-springs,m,8
stella-artois,m,8
stock,m,8
strawberry-wheat,m,8
stuttgarter-hofbrau,m,8
super,m,8
sweet,m,8
tallgrass,m,8
terminator,m,8
topvar,m,8
tun-tavern,m,8
vanilla-cream,m,8
warrior,m,8
watermelon-wheat,m,8
weisse,m,8
wells,m,8
williams,m,8
winter-solstice,m,8
20th-anniversary,m,7
71-pale,m,7
ahornberger,m,7
albani,m,7
alfa,m,7
bamberg,m,7
belgian-strong,m,7
berliner-burgerbrau,m,7
big-buck,m,7
big-dogs,m,7
big-river,m,7
black-and-tan,m,7
black-pearl,m,7
black-widow,m,7
bluetongue,m,7
bockbier,m,7
bohemia,m,7
bowen-island,m,7
braggot,m,7
brewbaker,m,7
brown-bear,m,7
brune,m,7
carib,m,7
casco-bay,m,7
cesu,m,7
chateau-bellevue,m,7
chili,m,7
chinook,m,7
chocolate-mint,m,7
cocoa,m,7
coffee-cream,m,7
cole,m,7
colorado-brewing,m,7
concord,m,7
copper-creek,m,7
crooked-river,m,7
dahlonega,m,7
decadence,m,7
dock-street,m,7
elmwood,m,7
estes-park,m,7
feldschlosschen,m,7
frostbite,m,7
gose,m,7
gulpener,m,7
hammer-nail,m,7
heartland,m,7
herrnbrau,m,7
hop-monster,m,7
hop-scotch,m,7
hoptoberfest,m,7
hummel,m,7
hurricane,m,7
iceni,m,7
kaltenberg,m,7
kamenitza,m,7
konigsbacher,m,7
left-hand,m,7
lemke,m,7
liberator,m,7
liberty,m,7
lost-coast,m,7
manchester,m,7
maximus,m,7
memminger,m,7
minhas,m,7
monks,m,7
motor-city-brewing,m,7
nit,m,7
nitro,m,7
noble,m,7
northern,m,7
northern-lights,m,7
northern-rivers,m,7
nutty-brewnette,m,7
park,m,7
phoenix,m,7
powerhouse,m,7
prairie,m,7
real,m,7
red-light,m,7
resurrection,m,7
ryepa,m,7
schorschbrau,m,7
sledgehammer,m,7
smoke-from-the-oak,m,7
smokey-the,m,7
snake-river,m,7
solstice,m,7
stratford,m,7
summer-blonde,m,7
svaneke,m,7
takau,m,7
three-boys,m,7
thunder-bay,m,7
thurn-und-taxis,m,7
traditional,m,7
unibroue,m,7
valhalla,m,7
valley,m,7
voodoo,m,7
wits-end,m,7
wolnzacher,m,7
x,m,7
xbeeriment,m,7
zierholz,m,7
15th-anniversary,m,6
508,m,6
ac-golden,m,6
airdale,m,6
alchemy,m,6
archipelago,m,6
avalanche,m,6
baja,m,6
batch-1000,m,6
belgian-gold,m,6
belgian-red,m,6
belgian-wheat,m,6
big,m,6
bighorn,m,6
birra-moretti,m,6
bitter-creek,m,6
black-irish,m,6
black-knight,m,6
black-swan,m,6
black-tan,m,6
blackwood,m,6
blonde-bombshell,m,6
blue-hills,m,6
blue-mountain,m,6
bottoms-up,m,6
breckenridge,m,6
brew-kettle,m,6
brewers-gold,m,6
broad-ripple,m,6
cabin-fever,m,6
cambridge,m,6
camo,m,6
capital,m,6
captains,m,6
cascadian-dark,m,6
centennial-pale,m,6
cerveza-jerome,m,6
chateau-kamiya,m,6
chatham,m,6
chipotle,m,6
coal,m,6
cold-spring,m,6
coopersmiths,m,6
coors,m,6
copperhead,m,6
cowboy,m,6
cranberry,m,6
cristal,m,6
crouch-vale,m,6
crown,m,6
degroens,m,6
diamond,m,6
dixie,m,6
dopple,m,6
double-barrel,m,6
double-black,m,6
double-trouble,m,6
dry-dock,m,6
dunkle,m,6
dunkles,m,6
einsiedler,m,6
eisbock,m,6
ellicottville,m,6
engel,m,6
ephemere,m,6
epiphany,m,6
erik-the-red,m,6
eureka,m,6
exmoor,m,6
fall,m,6
feral,m,6
fischer,m,6
flotzinger-brau,m,6
foothills,m,6
frambozen,m,6
fuggles,m,6
geelong,m,6
george,m,6
gir,m,6
glacier,m,6
gold-rush,m,6
golden-wheat,m,6
goose,m,6
gosser,m,6
grand,m,6
grays,m,6
great-crescent,m,6
grihete,m,6
hangtown,m,6
happy-goblin,m,6
hartsfelder,m,6
heather,m,6
helsinge,m,6
hibernator,m,6
highlands,m,6
honey-cream,m,6
hooligan,m,6
hop,m,6
hops,m,6
hunter,m,6
inspiration,m,6
instigator,m,6
irish-amber,m,6
jarrah-jacks,m,6
jefe,m,6
jp,m,6
kaiserdom,m,6
