keyword,n_positions,local_quantity
jarrah-jacks,6,0
jefe,6,164
jp,6,9119
kaiserdom,6,2
karlsberg,6,1
karma,6,376
lincoln,6,655
maribo,6,0
mighty-oak,6,0
mongozo,6,0
moonlight,6,102
mustang,6,467
naked,6,213
new-amsterdam,6,39
oettinger,6,3
ofallon,6,11
old-town-brown,6,0
olvi,6,0
one,6,11633
oranjeboom,6,0
outback,6,130
patriot,6,171
pearl,6,591
pfungstadter,6,0
pilsen,6,0
pinnacle,6,94
pinnacle-peak,6,2
pints,6,15
port,6,1307
powerhouse-pale,6,0
proef-flemish-primitive-wild,6,0
quad,6,224
railhouse,6,0
raspberry-imperial,6,0
red-racer,6,1
red-tail,6,1
rock-art,6,6
rocktoberfest,6,0
rocky-mountain,6,53
rye-pa,6,0
samuel-adams,6,1
satsuma,6,5
scalehouse,6,3
scarecrow,6,18
sin-city,6,13
sockeye,6,8
southern-flyer-light,6,0
spreewalder,6,0
st-austell,6,4
st-george,6,29
st-stans,6,0
sterling,6,510
stewarts,6,15
summerfest,6,12
summertime,6,98
sunset,6,672
sweet-magnolia-brown,6,0
toasted-coconut,6,4
tuborg,6,0
uerige,6,0
unfiltered-wheat,6,0
von-jakob,6,0
wassail,6,0
wee-heavy-scotch,6,0
whale-gulch,6,0
whitbread,6,2
white-horse,6,13
wild-river,6,1
wildfire,6,163
williamsburg,6,111
woinemer,6,0
xtra-pale,6,0
yorkshire,6,425
10th-anniversary,5,25
21st-amendment,5,0
ale,5,585
alter-ego,5,18
altottinger,5,0
amalgamated,5,1
angel,5,1053
aura,5,235
aviator,5,47
badger,5,109
baron,5,96
barons,5,18
bavarian-style,5,0
beartown,5,2
beck,5,113
belgian-abbey,5,0
belgian-golden,5,0
belgium,5,146
beyond-the-pale,5,2
bintara,5,1
bitburger,5,4
black-dog,5,10
black-gold,5,27
black-hops,5,0
blackbird,5,40
bombay,5,29
bombshell-blonde,5,0
bonaventure,5,7
bourbon-barrel-aged-imperial,5,0
bravo,5,343
brew-keeper,5,0
brewhouse,5,10
browarmia,5,0
buckner,5,3
buckwheat,5,22
burnside,5,16
butcombe,5,1
calistoga,5,4
calypso,5,23
cape-may,5,38
carpe-diem,5,8
cascade-pale,5,0
cask,5,29
castel,5,149
castle-rock,5,42
cavalier,5,87
chalk-hill,5,2
chaos,5,561
chateau-lagrange,5,0
chateau-plaisance,5,0
chernigivske,5,0
cherry-bomb,5,9
clearwater-light,5,0
coedo,5,0
collaborative-evil,5,0
coopers-cave,5,0
cowaramup,5,0
creemore-springs,5,0
czech-mate,5,0
daisen-g,5,0
dark-side,5,298
db,5,2361
dempseys,5,0
docs,5,1896
domaine-du-colombier,5,0
dornbusch,5,4
dortmunder-export,5,0
double-vision,5,2
dry-hopped-pale,5,0
du-colombier,5,1
dubbel-trouble,5,0
dubbel-trubbel,5,0
duff,5,35
dundee,5,76
dunkleweizen,5,0
eclipse,5,282
edel,5,14
egan-sons,5,0
elegant,5,180
emelisse,5,0
engine-house,5,0
f-m,5,49
fallen-angel,5,5
farmers-daughter,5,4
faust,5,30
festive,5,43
fireside,5,19
flagship,5,81
flanders-red,5,0
folklore,5,58
fools-gold,5,6
frank,5,688
gold-coast,5,41
greenshields,5,0
grisette,5,1
grog,5,3
gubernija,5,0
hambleton,5,0
hansa,5,43
happy,5,1589
harvest-moon,5,31
harvest-pale,5,0
harveys,5,31
hasseroder,5,0
hazelnut,5,25
heidelberger,5,7
