position_id,source,name,keyword,tier,optional,decision,reason,df,opt_recall
brands:00547,brands,Black Cow,black-cow,drop,,drop,opt_recall<2,1,0
brands:00548,brands,Chase,chase,drop,,drop,DF>cap_pospolite,817,0
brands:00549,brands,Glen's,glens,drop,,drop,opt_recall<2,6,0
brands:00551,brands,Smirnoff,smirnoff,drop,,drop,opt_recall<2,5,0
brands:00554,brands,Bowman's,bowmans,drop,,drop,opt_recall<2,5,0
brands:00556,brands,Cirrus,cirrus,drop,,drop,opt_recall<2,13,0
brands:00558,brands,Firefly,firefly,drop,,drop,opt_recall<2,129,0
brands:00560,brands,Grand Teton,grand-teton,drop,,drop,opt_recall<2,22,0
brands:00563,brands,Lotus,lotus,drop,,drop,DF>cap_pospolite,414,1
brands:00564,brands,New Amsterdam,new-amsterdam,drop,,drop,opt_recall<2,39,0
brands:00565,brands,Nikolai,nikolai,drop,,drop,opt_recall<2,21,0
brands:00566,brands,Orloff,orloff,drop,,drop,opt_recall<2,7,0
brands:00567,brands,Pinnacle,pinnacle,drop,,drop,opt_recall<2,94,0
brands:00568,brands,Popov,popov,drop,,drop,opt_recall<2,2,0
brands:00569,brands,Rain,rain,drop,,drop,DF>cap_pospolite,620,0
brands:00571,brands,SKYY,skyy,drop,,drop,opt_recall<2,31,0
brands:00574,brands,Tito's,titos,drop,,drop,opt_recall<2,13,0
brands:00575,brands,Three Olives,three-olives,drop,,drop,opt_recall<2,1,1
brands:00576,brands,UV,uv,smiec,,drop,token<=2,246,0
brands:00577,brands,VÄD,vad,drop,,drop,opt_recall<2,41,0
brands:00583,brands,Casamigos,casamigos,keep,tequila|mezcal,keep,required+optional@1,4,3
brands:00584,brands,Casa Dragones,casa-dragones,drop,,drop,opt_recall<2,1,1
brands:00587,brands,Corralejo,corralejo,drop,,drop,opt_recall<2,2,0
brands:00588,brands,Corzo,corzo,drop,,drop,opt_recall<2,5,0
brands:00591,brands,Don Julio,don-julio,keep,tequila|mezcal,keep,required+optional@1,4,3
brands:00594,brands,Espolon,espolon,drop,,drop,opt_recall<2,6,0
brands:00597,brands,Herradura,herradura,drop,,drop,opt_recall<2,9,1
brands:00599,brands,Jose Cuervo,jose-cuervo,drop,,drop,opt_recall<2,1,0
brands:00600,brands,Kirkland Signature,kirkland-signature,drop,,drop,opt_recall<2,16,0
brands:00604,brands,Patrón,patron,keep,tequila|mezcal|liqueur|licor|likor|liquore,keep,required+optional@1,188,2
brands:00612,brands,Tres Generaciones,tres-generaciones,drop,,drop,opt_recall<2,2,0
brands:00617,brands,Intramuros Liqueur de Cacao,intramuros,drop,,drop,opt_recall<2,3,0
brands:00618,brands,Liqueur Fogg,fogg,drop,,drop,opt_recall<2,1,0
brands:00622,brands,Sabra liqueur,sabra,drop,,drop,opt_recall<2,7,0
brands:00624,brands,Mon Chéri,mon-cheri,drop,,drop,opt_recall<2,1,0
brands:00625,brands,Cadbury Cream Liqueur,cadbury,drop,,drop,opt_recall<2,6,0
brands:00636,brands,Allen's Coffee Brandy,allens,drop,,drop,opt_recall<2,17,0
