wikidata,name,aliases,types,makers,countries
Q1035122,Captain Morgan,,drink brand | trademark | alcoholic beverage | alcohol brand | mark,Diageo,Puerto Rico
Q1035257,Cara Pils,,alcohol brand | beer brand,http://www.wikidata.org/.well-known/genid/0318c4660ab73a0968ac72388330982e,Belgium
Q1042747,Šariš Brewery,,juridical person | organization | business,,
Q1069502,Chivas Regal,,mark | trademark,,Scotland
Q1071385,Velkopopovický Kozel,,alcohol brand | beer brand,Velké Popovice Brewery,Czech Republic
Q1073087,Smithwick's,,alcohol brand | beer brand,,
Q1092501,Ciney,,alcohol brand | beer brand,Alken-Maes,Belgium
Q1110171,Lucozade,,artificial object | brand,,United Kingdom
Q1123957,Concha y Toro,,business | juridical person | organization | enterprise | joint-stock company | public company | viticulture plant | estate | winery,,
Q1135433,Corsendonk,,alcohol brand | beer brand,,Belgium
Q1141793,Crown Royal,,mark | trademark,Diageo,Canada
Q1142157,Cruzan Rum,,mark | trademark,,
Q1154608,Brasseries de Bourbon,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q1220049,Diebels,,food manufacturer | factory | brewery | mark | trademark,,
Q1229287,Hennessy,,business | juridical person | organization | facility | architectural structure | factory | enterprise | distillery,,
Q1266184,Ron Zacapa Centenario,,distilling industry | beverage industry | spirits industry,,Guatemala
Q1268688,Kronen,,food manufacturer | factory | brewery | mark | trademark,,
Q1271521,Midori,,,Suntory,Japan
Q1311398,Eisenbahn,,brewery | juridical person | organization | microbrewery | business,,
Q1319722,Thomas Hine & Co.,,juridical person | organization | business,,
Q1334431,Ringnes,,food manufacturer | factory | brewery,,
Q1341618,Leffe,,alcohol brand | beer brand,,Belgium
Q1354879,Eristoff,,liquor | vodka,Bacardi,
Q1355005,Otard,,juridical person | organization | business,,
Q1370611,Estrella Damm,,alcohol brand | beer brand,S.A. Damm,
Q1397604,Kronenbourg Brewery,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q1401813,Jenlain,,alcohol brand | beer brand,,
Q1402670,Maes pils,,pale lager | pilsner,Alken-Maes,
Q1411852,Havana Club,,drink brand | trademark | alcoholic beverage | object | product | alcohol brand | liquor | rum,,
Q1415922,Sauza Tequila,,juridical person | organization | facility | architectural structure | factory | business | distillery,,
Q1422061,Labatt Brewing Company,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q1422369,Alexander Keith's Brewery,,food manufacturer | factory | brewery,,
Q1423785,Foster's Lager,,alcohol brand | beer brand | mark | trademark,,
Q1425215,Suze,,,,Switzerland
Q1428749,Strongbow,,artificial object | brand | alcoholic fruit beverage | fermented alcoholic beverage | cider | mark | trademark,,England
Q1429240,Flor de Caña,,artificial object | brand,,Nicaragua
Q1432194,North British Distillery,,distillery | private corporation | private company | whisky distillery | privately held company,,
Q1439975,Four Roses,,drink brand | trademark | alcoholic beverage | alcohol brand,,Kentucky
Q1443983,Tequila Corralejo,,facility | architectural structure | factory | organization | distillery,,
Q1453827,Freiberger Brauhaus,,food manufacturer | factory | brewery,,
Q10313616,Kaiser (company),,alcohol brand | beer brand,,Brazil
Q10546701,Knob Creek,,drink brand | trademark | alcoholic beverage | alcohol brand,Suntory Global Spirits,United States
Q10608200,Old Speckled Hen,,high fermentation beer | ale,,
Q11108502,Nigerian Breweries,,legal person | organization | company | group | industry,,
Q11328029,Bireley's,,artificial object | brand,,
Q11687605,La Casera,,juridical person | organization | business | artificial object | brand,,
Q11688589,Wells & Young's Brewery,,juridical person | organization | business,,
Q11706909,Břevnovský monastic brewery,,food manufacturer | factory | brewery,,
Q11892346,Sandels,,alcohol brand | beer brand,Olvi,
Q12045421,Poutník Brewery,,food manufacturer | factory | brewery,,
Q12045524,Platan,,beer | beer in the Czech Republic,,
Q12061436,Magic Hat Brewing Company,,subsidiary organization | company | organizational unit | subsidiary company | food manufacturer | factory | brewery,,
Q12084926,Mikulinetsky Brovar,,food manufacturer | factory | brewery,,
Q12272512,Astika,,alcohol brand | beer brand,,
Q12282497,Kamenitza,,business | enterprise | food manufacturer | factory | brewery,,
Q12295449,Stolichno,,alcohol brand | beer brand,,
Q13479453,Bols,,drink brand | trademark | alcoholic beverage | facility | architectural structure | factory | organization | distillery | alcohol brand,,
Q13516749,Henry Weinhard's,,food manufacturer | factory | brewery,,
Q13529413,Corby Distilleries,,juridical person | organization | business | enterprise | joint-stock company | public company,,
Q13573965,Dommelsch Brewery,,food manufacturer | factory | brewery,,
Q13585803,Hebridean Brewing Company,,food manufacturer | factory | brewery,,
Q14627942,Mützig,,food manufacturer | factory | brewery,Heineken International,
Q14635771,Kubuli,,,,
Q14683200,Lost Coast Brewery,,legal person | organization | company,,
Q101107811,Seedlip,,,,
Q104842025,D'usse,,,,
Q104848744,Carta Clara,,,,
Q104874287,Paradise Beverages,,alcohol brand | beer brand,,
Q104902665,Thomas Hardy's Ale,,ale | barley wine,,
Q105562107,Pliny the Younger,,alcohol brand | beer brand,,
Q106608867,Ron Cihuatán,,food and beverage | liquid | drink,,
Q106707376,Figueroa Mountain Brewing Company,,legal person | organization | company,,
Q107103983,Balter Brewing Company,,brewery | microbrewery,,
Q108485764,Birzeit Brewery,,brewery | microbrewery | legal person | organization | company,,
Q108550831,Bier Hoi Brewing Company,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q109356802,Q109356802,,juridical person | organization | business | viticulture plant | estate | winery,,
Q109535189,Dos Hombres,,juridical person | organization | business,,
Q109928076,Seifried Estate Winery,,legal person | organization | company,,
Q110235787,King's Ginger,,food and beverage | liquid | drink,,
Q110269371,Ten To One Rum,,legal person | organization | company,,
Q110269679,Hawkstone Lager,,low fermentation beer | lager,,
Q110442676,Saint Vincent Beer,,alcohol brand | beer brand,Saint Vincent Archabbey,
Q112672812,Kylie Minogue Wines,,juridical person | organization | alcohol brand | wine | business | wine brand,,
Q112701811,Italicus,,food and beverage | liquid | drink,,
Q112805944,Holman Ranch,,agricultural complex | human-geographic territorial entity | human settlement | ranch,,
Q114068710,Pierre Moncuit,,,,
Q114862807,Flecha Azul,,legal person | organization | company,,
Q115517138,Saxa Vord distillery,,facility | architectural structure | factory | organization | distillery,,
Q115801291,Nam Nam Alley,,,,
Q116290577,Label 5,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q116694330,Filliers,,distillery | facility | architectural structure | factory | whisky distillery | organization,,
Q116776662,Something Special,,food and beverage | liquid | drink,,
Q116814221,Logan,,food and beverage | liquid | drink,,
Q117061516,VK,,food and beverage | liquid | drink,,
Q117100755,Cerveza Norteña,,artificial object | brand,Cervecería y Malteria de Paysandú,
Q117272413,Cerveza Zillertal,,drink | alcoholic beverage | artificial object | brand,Fábricas Nacionales de Cerveza,
Q117312667,Fratelli Wines,,food and beverage | liquid | drink,,
Q118875870,Madrí Excepcional,,alcohol brand | beer brand,Cerveza La Sagra | Coors Brewers,
Q120727348,Kirkland Signature Hard Seltzer,,food and beverage | liquid | drink,,
Q120779634,caves,,type of drink | type of manufactured good | version | beer | beer style,,Belgium
Q121833101,Shock Top,,alcohol brand | beer brand,,
Q121878709,Carlton Dry,,food and beverage | liquid | drink,,
Q123144367,The Fun Wine Company,,legal person | organization | company,,
Q123199385,Xinghuacun Fenjiu,,facility | architectural structure | factory | organization | distillery,,
Q123264913,Mizone,,artificial object | brand,Frucor,France
Q123270624,Malaguerra Winery,,viticulture plant | estate | winery,,
Q125688901,Lucky Saint,,food and beverage | liquid | drink,,
Q125758636,Murau Brewery,,food manufacturer | factory | brewery,,
Q127502429,Carlton Zero,,food and beverage | liquid | drink,,
Q127691328,Tombstone Brewing Company,,,,
Q128033685,Ao Yun,,,,
Q128960847,Grain Belt Beer sign,,physical sign | advertising medium | architectural structure | goods | billboard,,
Q130235631,SirDavis,,legal person | organization | company,,
Q130425710,Highclere Castle Gin,,artificial object | brand,,
Q131374918,Sofi Malt SE,,,,
Q131620347,Maudite,,,,
Q134454479,Orlando Wines,,,,
Q134454567,Sagres beer,,alcohol brand | beer brand | mark | trademark,Central de Cervejas,
Q135350274,Inman Family Wines,,,,
Q135665360,Tusker,,food and beverage | liquid | drink,,
Q136352217,Lawson's Finest Liquids,,,,
Q136385278,Briggs Original,,legal person | organization | company,,
Q137427341,Indri,,malt whisky | single malt whisky,,India
Q137822829,Edinburgh Gin,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q137884342,Jackton distillery,,whisky distillery | distillery,,
Q138012061,Mountain Culture Beer Co,,food manufacturer | factory | brewery,,
Q138130570,Lind & Lime gin distillery,,facility | architectural structure | factory | organization | distillery,,
Q138132023,Glaswegin,,food and beverage | liquid | drink,,
Q138132372,Kinrara distillery,,distiller | gin distiller,,
Q138139718,Isle of Tiree distillery,,whisky distillery | distillery,,
Q138266294,Galloway distillery,,whisky distillery | distillery,,
Q138299135,Glenrinnes distillery,,facility | architectural structure | factory | organization | distillery,,
Q138302189,Dunnet Bay distillery,,facility | architectural structure | factory | organization | distillery,,
Q138303972,Isle of Cumbrae distillery,,facility | architectural structure | factory | organization | distillery,,
Q138350849,Stirling distillery,,facility | architectural structure | factory | distillery | organization,,
Q138535759,Secret Garden distillery,,architectural structure | factory | facility | organization | distillery,,
Q138631974,The Glenlivet,,artificial object | brand,The Glenlivet,
Q138993846,Gran Centenario,,,,
Q139072950,Nega Fulô,,liquor | cachaça,,
Q139760859,Reserva de la Familia,,food and beverage | liquid | drink,,
Q139761416,National Rums of Jamaica,,legal person | organization | company,,
Q139966775,Loïc Raison,,,,
Q140133673,Crazy Mountain,,legal person | organization | company,,
Q140157562,Amázzoni Gin,,food and beverage | liquid | drink,,
Q1090523,Château Lagrange,Chateau Lagrange,manor house | château | viticulture plant | estate | winery,,
Q1092618,Cinzano,vermú,mark | trademark,,
Q1104762,Cobra Beer,Cobra Beer Brewery | Cobra Beer Brewing,alcohol brand | juridical person | organization | business | beer brand,,
Q1128163,Kahlúa,Kahlua,mark | trademark,Pernod Ricard,Mexico
Q1129508,Fix,FIX HELLAS | Fix beer,alcohol brand | beer brand | food manufacturer | factory | brewery | mark | trademark,,
Q1134872,Hoegaarden Brewery,Hoegaarden White,food manufacturer | factory | brewery,,
Q12322536,Kompania Piwowarska,KP,business | juridical person | organization | enterprise,,
Q16825390,Ariana,Ariana beer,alcohol brand | beer brand,,
Q17019141,Signature,McDowell's Signature,artificial object | brand,United Spirits Limited,India
Q1518607,Kweichow Moutai Company,Kweichow Moutai | Kweichow Moutai Co Ltd,juridical person | organization | business | enterprise | joint-stock company | public company,,
Q1523570,Hardenberg-Wilthen,Hardenberg Wilthen AG,mark | trademark,,
Q1538163,Gordon's London Dry Gin,Alexander Gordon & Co. | Gordon's Gin,trademark | alcoholic beverage | alcohol brand | drink brand | mark,,
Q1539525,Stolichnaya,Stoli,liquor | vodka | trademark | alcoholic beverage | alcohol brand | drink brand | mark,,Soviet Union | Russia
Q1591903,Pago,Pago International,mark | trademark,,
Q1614112,Herrenhäuser Brewery,Herrenhäuser Bier | Privatbrauerei Herrenhausen,food manufacturer | factory | brewery,,
Q153075,Grolsch,Grolsch Brewery,business | enterprise | juridical person | organization | alcohol brand | beer brand | food manufacturer | factory | brewery,,
Q153546,Augustiner Bräu,Augustiner-Bräu Wagner KG,mark | trademark | food manufacturer | factory | brewery,,
Q153852,Cölner Hofbräu Früh,Früh Kölsch,food manufacturer | factory | brewery,,
Q177092,Malibu,Malibu (rum) | Malibu liqueur | Malibu Rum,artificial object | brand,West Indies Rum Distillery | Allied Domecq | Pernod Ricard,Barbados
Q180855,Heineken International,Heineken International N.V.,business | enterprise | juridical person | organization | joint-stock company | public company | food manufacturer | factory | brewery,,
Q14875438,Steam Whistle Brewing,Steam Whistle,food manufacturer | factory | brewery,,
Q16069488,Champagne Besserat de Bellefon,Besserat de Bellefon | Cuvée des Moines,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q16219738,Chamisul,Chamiseul,spirit drink | liquor | artificial object | brand,,South Korea
Q16994762,Imperial Blue,,liquid | drink | food and beverage,Pernod Ricard,
Q16995345,Jefferson's Bourbon,,trademark | alcoholic beverage | alcohol brand | drink brand,Pernod Ricard,United States
Q16995698,Kingstone Press Cider,,drink brand | food brand,,
Q16995728,Knappogue Castle Irish Whiskey,,food and beverage | liquid | drink,Castle Brands,Ireland
Q16997466,McAfee's Benchmark,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q16997481,McDowell's No.1,,spirit drink | liquor,,
Q16998126,Morrissey Fox,,,,
Q16998452,National Association of Cider Makers,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q16998990,J&W Nicholson & Co,,,,
Q17005920,Leblon Cachaça,,mark | trademark,,Brazil
Q17008252,James Squire,,juridical person | organization | business,,
Q17010184,DeLeón Tequila,,,,Mexico
Q17012457,Espolon,,artificial object | brand,,
Q17016448,Old Rip Van Winkle,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q17016629,Newfoundland Screech,,,,
Q17016991,Peter Scot,,food and beverage | liquid | drink,Khoday Group,India
Q17017311,Red Knight,,food and beverage | liquid | drink,Khoday Group,India
Q17017784,Rowson's Reserve,,food and beverage | liquid | drink,Diageo,India
Q17017801,Royal Challenge,,food and beverage | liquid | drink,United Spirits Limited,
Q17017829,Royal Stag,,food and beverage | liquid | drink,Pernod Ricard,India
Q17018705,NT Draught,,alcohol brand | beer brand,,
Q17026863,Swan,,alcohol brand | beer brand,Swan Brewery,Australia
Q17035715,West End Draught,,alcohol brand | beer brand,,
Q17040686,Worthington's White Shield,,food and beverage | liquid | drink,Molson Coors Brewing Company,
Q17046338,Rum-Bar Rum,,artificial object | brand,,
Q17054104,Pure Blonde,,food and beverage | liquid | drink,,
Q17077625,Maestro Dobel Tequila,,food and beverage | liquid | drink,Proximo Spirits,Mexico
Q17084221,Off Color Brewing,,juridical person | organization | business,,
Q17085578,SGC,,,,
Q17090693,New Holland Brewing Company,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q17101869,Janssen and Bechly Brewery,,food manufacturer | factory | brewery,,
Q17102143,Kraken Rum,,trademark | alcoholic beverage | alcohol brand | drink brand,Proximo Spirits,Trinidad and Tobago
Q17103592,Harviestoun Brewery,,juridical person | organization | business,,
Q17108368,Pete's Brewing Company,,food manufacturer | factory | brewery,,
Q17116172,Keystone,,,,
Q17117018,Private Stock,,alcoholic beverage | malt liquor,Haffenreffer Brewery,
Q17118779,National Bohemian,,,,
Q17118795,New Glarus Brewing Company,,food manufacturer | factory | brewery,,
Q17118809,Nikolai,,trademark | alcoholic beverage | alcohol brand | drink brand,,
Q17183228,Sierra Leone Brewery Limited,,juridical person | organization | business,,
Q17183477,Black Warrior Brewing Company,,brewery | microbrewery,,
Q17190954,Pripps,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q18012419,Drappier Champagne,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q18012423,Alfred Gratien,,corporate body | person or organization | group of humans | social system | complex system | organization,,
Q18110736,Brarudi,,juridical person | organization | business,,
Q18111842,Diamond White,,cider brand | alcohol brand,,
Q18124909,Four Seasons Wines,,viticulture plant | estate | winery,,
Q18148506,Foolproof Brewing Company,,juridical person | organization | business,,
Q18160216,Fuller's ESB,,food and beverage | liquid | drink,Fuller's Brewery,United Kingdom
Q18161195,London Pride,,alcohol brand | beer brand,Fuller's Brewery,United Kingdom
Q18161708,Organic Honey Dew,,food and beverage | liquid | drink,Fuller's Brewery,United Kingdom
Q18163206,Swaziland Beverages Ltd,,juridical person | organization | business,,
Q18166129,Mash Brewing Company,,juridical person | organization | business,,
Q18166888,Thunder Road Brewing Company,,juridical person | organization | business,,
Q18348855,Controy,,,,
Q18356815,Selvarey Rum,,juridical person | organization | business,,
Q18358791,James E. Pepper,,architectural structure | factory | organization | distillery | facility,,
Q18393966,Rekorderlig,,cider brand | alcohol brand,,
Q18636480,2 Towns Ciderhouse,,food manufacturer | factory | brewery,,
Q18636502,Brasserie Saint James,,brewery | microbrewery | mass caterer | facility | restaurant | pub | brewpub,,
Q18636748,Fiji Bitter,,food and beverage | liquid | drink,,
Q18636761,Vailima,,food and beverage | liquid | drink,,
Q18639730,Holsten Pils,,alcohol brand | beer brand,,
Q151205,Heinrich Reissdorf,,food manufacturer | factory | brewery,,
Q151607,Gaffel Becker & Co,,food manufacturer | factory | brewery,,
Q152532,Skol,,alcohol brand | beer brand,,Scotland
Q153960,Jupiler,,alcohol brand | beer brand,,Belgium
Q155081,Champagne Salon,,viticulture plant | estate | winery,,
Q179963,Macieira Bebida Espirituosa,,mark | trademark,,
Q1483584,Fürstenberg Brewery,,food manufacturer | factory | brewery,,
Q1493247,Gammel Dansk,,artificial object | brand,,Denmark
Q1498628,Don Julio,,juridical person | organization | business | trademark | alcoholic beverage | alcohol brand | drink brand,,
Q1502941,Borsod Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q1507227,George Dickel,,distillery | whisky distillery | mark | trademark,Diageo,Tennessee
Q1512528,Dortmunder Export,,type of drink | type of manufactured good | version | beer | beer style,,
Q1518444,Vat 69,,grain spirit | whisky | mark | trademark,William Sanderson & Son Limited,Scotland
Q1519908,list of vodkas,,list | Wikimedia list article | Wikimedia internal item | Wikimedia article page,,
Q1536205,Karlovačko,,alcohol brand | beer brand | mark | trademark,,
Q1546373,Murphy's Irish Stout,,alcohol brand | beer brand,,
Q1546845,Grimbergen,,beer | abbey beer | alcohol brand | beer brand,Grimbergen Abbey Brewery | Kronenbourg Brewery | Alken-Maes,Belgium
Q1549494,Lvivske,,mark | trademark,,
Q1572281,Kingfisher,,alcohol brand | beer brand,,India
Q1575609,Taybeh Brewery,,food manufacturer | factory | brewery,,
Q1582724,Super Bock,,legal person | organization | company | mark | trademark,,
Q1584923,Harbin Brewery,,juridical person | organization | business | mark | trademark,,
Q1615321,Herzoglich Bayerisches Brauhaus Tegernsee,,food manufacturer | factory | brewery,,
Q1622954,Hofbrauhaus Arolsen,,mark | trademark | food manufacturer | factory | brewery,,
Q1624602,Ramlösa,,artificial object | brand,,
Q1628822,Wódka Żołądkowa Gorzka,,liquor | vodka,Polmos Białystok,
Q1644339,Lillet,,,,France
Q1664938,list of brewing companies in Germany,,Wikimedia internal item | Wikimedia article page | list | Wikimedia list article,,
Q1851509,Saku Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q1856180,Vega Sicilia,,,,
Q1862698,Tiger Beer,,alcohol brand | beer brand | mark | trademark,Asia Pacific Breweries,
Q1867525,Kilbeggan Distillery,,distillery | whisky distillery | facility | architectural structure | factory | organization,,
Q14685020,New Belgium Brewing Company,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q14705116,Great Basin Brewing Company,,juridical person | organization | business,,
Q14713879,Redhook Ale Brewery,,food manufacturer | factory | brewery,,
Q14714485,Jacob Leinenkugel Brewing Company,,food manufacturer | factory | brewery,,
Q14855292,Safir,,alcohol brand | beer brand,Q2426372,
Q14915894,Happy Joe,,cider brand | alcohol brand | alcoholic fruit beverage | fermented alcoholic beverage | cider | mark | trademark,Hartwall,Finland
Q14935783,Bootleg Brewery,,juridical person | organization | business,,
Q15228875,Isle of Barra distillery,,facility | architectural structure | factory | organization | distillery,,
Q15252503,McCashins Brewery,,legal person | organization | company,,
Q15624078,Union Brewery,,company | juridical person | corporation,,
Q15880777,Pivovar Ostravar,,food manufacturer | factory | brewery,,
Q15934634,Kinmen Distillery,,facility | architectural structure | factory | organization | distillery | legal person | company,,
Q15935293,Beijing Red Star Company Limited,,juridical person | organization | business,,
Q15940485,Château du Vigneau,,fortification | castle,,
Q16058175,After Dark,,food and beverage | liquid | drink,Radico Khaitan,India
Q16069544,Champagne Binet,,food manufacturer | winery | champagne house,,
Q16155839,1519 Tequila,,,,Mexico
Q16158233,4 Copas,,,,Mexico
Q16248262,James Boag's Premium,,alcohol brand | beer brand,Boag's Brewery,Tasmania
Q16249481,Devassa by Playboy,,juridical person | organization | business | alcohol brand | beer brand,,
Q16250373,Lucky Lager,,,,
Q16259546,Paul John,,malt whisky | single malt whisky,John Distilleries,India
Q16323131,100 Pipers,,whisky | blended whiskey | trademark | alcoholic beverage | alcohol brand | drink brand | Scotch whisky,Pernod Ricard,Scotland
Q16531882,William Lawson's,,trademark | alcoholic beverage | alcohol brand | drink brand,,Scotland
Q1665382,Vin Mariani,,drink | coca wine | legal person | juridical person,,
Q1686634,Jelen pivo,,juridical person | organization | business,,
Q1688011,Tequila Herradura,,juridical person | organization | business | facility | architectural structure | factory | distillery,,
Q1721585,Kaiser Bräu,,food manufacturer | factory | brewery,,
Q1727789,Waldhaus,,mark | trademark | food manufacturer | factory | brewery,,
Q1741320,Kilkenny,,alcohol brand | beer brand | mark | trademark,Diageo,
Q1742438,Kulmbacher Brewery,,enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,
Q1753595,Grey Goose,,trademark | alcoholic beverage | alcohol brand | drink brand,Bacardi,France
Q1756360,Sirop de Picon,,,,
Q1758887,Maker's Mark,,distillery | whisky distillery | trademark | alcoholic beverage | alcohol brand | drink brand,Suntory Global Spirits,United States
Q1759184,Pommery,,business | enterprise | food manufacturer | winery | champagne house,,
Q1761185,Pimm's,,mark | trademark,,
Q1764694,Brooklyn Brewery,,food manufacturer | factory | brewery,,
Q1776382,Klosterbrauerei Andechs,,mark | trademark | food manufacturer | factory | brewery,,
Q1777602,Noilly Prat,,mark | trademark,,France
Q1777966,Königsbacher,,mark | trademark | food manufacturer | factory | brewery,,
Q1780019,Piper-Heidsieck,,corporate body | person or organization | group of humans | social system | complex system | organization | viticulture plant | estate | winery,,France
Q1795931,König Brauerei,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q1796123,Royal Brewery of Krušovice,,food manufacturer | factory | brewery,,
Q1798652,Tuborg Brewery,,juridical person | organization | business | artificial object | brand,,
Q1806967,Ruinart,,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q1815615,Bloemenbier,,alcohol brand | beer brand,De Proefbrouwerij,Belgium
Q1830767,Anheuser-Busch brands,,,,
Q1637028,Mythos,Mythos Brewery,mark | trademark | food manufacturer | factory | brewery,,
Q1758979,Amaro Ramazzotti,Ramazzotti,mark | trademark,,
Q1763924,Beefeater Gin,Beefeater,jenever | gin | trademark | alcoholic beverage | alcohol brand | drink brand,Pernod Ricard,United Kingdom
Q1789361,Magners Irish Cider,Bulmers Irish Cider,cider brand | alcohol brand | mark | trademark,,
Q1798985,Skyy Vodka,SKYY Vodka,trademark | alcoholic beverage | alcohol brand | drink brand | mark,SKYY Spirits | Campari Group,United States
