id,keyword,keyword_variants,optional,category,country,maker,extra,sources,aka
Cerveza Norteña,cerveza-nortena,cerveza-nortena,cerveceria-y-malteria-de-paysandu,,,Cervecería y Malteria de Paysandú,,alkohole_wikidata,
Cerveza Zillertal,cerveza-zillertal,cerveza-zillertal,fabricas-nacionales-de-cerveza,,,Fábricas Nacionales de Cerveza,,alkohole_wikidata,
Fratelli Wines,fratelli-wines,fratelli-wines|fratelli,,,,,,alkohole_wikidata,
Madrí Excepcional,madri-excepcional,madri-excepcional,beer|cerveza-la-sagra|coors-brewers,beer,,Cerveza La Sagra|Coors Brewers,,alkohole_wikidata,
Kirkland Signature Hard Seltzer,kirkland-signature-hard-seltzer,kirkland-signature-hard-seltzer,,,,,,alkohole_wikidata,
caves,caves,caves,beer|belgium,beer,Belgium,,,alkohole_wikidata,
Shock Top,shock-top,shock-top,beer,beer,,,,alkohole_wikidata,
Carlton Dry,carlton-dry,carlton-dry,,,,,,alkohole_wikidata,
The Fun Wine Company,the-fun-wine-company,the-fun-wine-company|the-fun-wine|fun-wine-company|fun-wine,,,,,,alkohole_wikidata,
Xinghuacun Fenjiu,xinghuacun-fenjiu,xinghuacun-fenjiu,,,,,,alkohole_wikidata,
Mizone,mizone,mizone,france|frucor,,France,Frucor,,alkohole_wikidata,
Malaguerra Winery,malaguerra-winery,malaguerra-winery|malaguerra,,,,,,alkohole_wikidata,
Lucky Saint,lucky-saint,lucky-saint,,,,,,alkohole_wikidata,
Murau Brewery,murau-brewery,murau-brewery|murau,,,,,,alkohole_wikidata,
Carlton Zero,carlton-zero,carlton-zero,,,,,,alkohole_wikidata,
Tombstone Brewing Company,tombstone-brewing-company,tombstone-brewing-company|tombstone-brewing|tombstone,,,,,,alkohole_wikidata,
Ao Yun,ao-yun,ao-yun,,,,,,alkohole_wikidata,
Grain Belt Beer sign,grain-belt-beer-sign,grain-belt-beer-sign,,,,,,alkohole_wikidata,
SirDavis,sirdavis,sirdavis,,,,,,alkohole_wikidata,
Highclere Castle Gin,highclere-castle-gin,highclere-castle-gin,,,,,,alkohole_wikidata,
Sofi Malt SE,sofi-malt-se,sofi-malt-se,,,,,,alkohole_wikidata,
Maudite,maudite,maudite,,,,,,alkohole_wikidata,
Orlando Wines,orlando-wines,orlando-wines|orlando,,,,,,alkohole_wikidata,
Sagres beer,sagres-beer,sagres-beer,central-de-cervejas,beer,,Central de Cervejas,,alkohole_wikidata,
Inman Family Wines,inman-family-wines,inman-family-wines|inman-family,,,,,,alkohole_wikidata,
Tusker,tusker,tusker,beer|diageo,beer,,Diageo,,alkohole_wikidata,
Lawson's Finest Liquids,lawsons-finest-liquids,lawsons-finest-liquids,,,,,,alkohole_wikidata,
Briggs Original,briggs-original,briggs-original,,,,,,alkohole_wikidata,
Jackton distillery,jackton-distillery,jackton-distillery|jackton,whisky,whisky,,,,alkohole_wikidata,
Mountain Culture Beer Co,mountain-culture-beer-co,mountain-culture-beer-co|mountain-culture-beer,,,,,,alkohole_wikidata,
Lind & Lime gin distillery,lind-lime-gin-distillery,lind-lime-gin-distillery|lind-lime-gin|lind-and-lime-gin-distillery|lind-and-lime-gin,,,,,,alkohole_wikidata,
Kinrara distillery,kinrara-distillery,kinrara-distillery|kinrara,gin,gin,,,,alkohole_wikidata,
Isle of Tiree distillery,isle-of-tiree-distillery,isle-of-tiree-distillery|isle-of-tiree,whisky,whisky,,,,alkohole_wikidata,
Galloway distillery,galloway-distillery,galloway-distillery|galloway,whisky,whisky,,,,alkohole_wikidata,
Glenrinnes distillery,glenrinnes-distillery,glenrinnes-distillery|glenrinnes,,,,,,alkohole_wikidata,
Dunnet Bay distillery,dunnet-bay-distillery,dunnet-bay-distillery|dunnet-bay,,,,,,alkohole_wikidata,
Isle of Cumbrae distillery,isle-of-cumbrae-distillery,isle-of-cumbrae-distillery|isle-of-cumbrae,,,,,,alkohole_wikidata,
Stirling distillery,stirling-distillery,stirling-distillery|stirling,,,,,,alkohole_wikidata,
Secret Garden distillery,secret-garden-distillery,secret-garden-distillery|secret-garden,,,,,,alkohole_wikidata,
The Glenlivet,the-glenlivet,the-glenlivet|glenlivet,the-glenlivet,,,The Glenlivet,,alkohole_wikidata,
Nega Fulô,nega-fulo,nega-fulo,cachaca,cachaca,,,,alkohole_wikidata,
Reserva de la Familia,reserva-de-la-familia,reserva-de-la-familia,,,,,,alkohole_wikidata,
National Rums of Jamaica,national-rums-of-jamaica,national-rums-of-jamaica,,,,,,alkohole_wikidata,
Loïc Raison,loic-raison,loic-raison,,,,,,alkohole_wikidata,
Crazy Mountain,crazy-mountain,crazy-mountain,,,,,,alkohole_wikidata,
Amázzoni Gin,amazzoni-gin,amazzoni-gin,,,,,,alkohole_wikidata,
Château Lagrange,chateau-lagrange,chateau-lagrange,,,,,,alkohole_wikidata,
Cobra Beer,cobra-beer,cobra-beer|cobra-beer-brewery|cobra-beer-brewing,,beer,,,,alkohole_wikidata,
Fix,fix,fix|fix-hellas|fix-beer,beer,beer,,,,alkohole_wikidata,
Hoegaarden Brewery,hoegaarden-brewery,hoegaarden-brewery|hoegaarden|hoegaarden-white,,,,,,alkohole_wikidata,
Kompania Piwowarska,kompania-piwowarska,kompania-piwowarska|kp,,,,,,alkohole_wikidata,
Ariana,ariana,ariana|ariana-beer,beer,beer,,,,alkohole_wikidata,
Signature,signature,signature|mcdowells-signature,india|united-spirits-limited,,India,United Spirits Limited,,alkohole_wikidata,
Kweichow Moutai Company,kweichow-moutai-company,kweichow-moutai-company|kweichow-moutai|kweichow-moutai-co-ltd|kweichow-moutai-co,,,,,,alkohole_wikidata,
Hardenberg-Wilthen,hardenberg-wilthen,hardenberg-wilthen|hardenberg-wilthen-ag,,,,,,alkohole_wikidata,
Gordon's London Dry Gin,gordons-london-dry-gin,gordons-london-dry-gin|alexander-gordon-co|alexander-gordon|alexander-gordon-and-co|alexander-gordon-and|gordons-gin,,,,,,alkohole_wikidata,
Pago,pago,pago|pago-international,,,,,,alkohole_wikidata,
Herrenhäuser Brewery,herrenhauser-brewery,herrenhauser-brewery|herrenhauser|herrenhauser-bier|privatbrauerei-herrenhausen,,,,,,alkohole_wikidata,
Grolsch,grolsch,grolsch|grolsch-brewery,beer,beer,,,,alkohole_wikidata,
Augustiner Bräu,augustiner-brau,augustiner-brau|augustiner|augustiner-brau-wagner-kg|augustiner-brau-wagner,,,,,,alkohole_wikidata,
Cölner Hofbräu Früh,colner-hofbrau-fruh,colner-hofbrau-fruh|fruh-kolsch,,,,,,alkohole_wikidata,
Heineken International,heineken-international,heineken-international|heineken-international-n-v,,,,,,alkohole_wikidata,
Steam Whistle Brewing,steam-whistle-brewing,steam-whistle-brewing|steam-whistle,,,,,,alkohole_wikidata,
Champagne Besserat de Bellefon,champagne-besserat-de-bellefon,champagne-besserat-de-bellefon|besserat-de-bellefon|cuvee-des-moines,france,,France,,,alkohole_wikidata,
Chamisul,chamisul,chamisul|chamiseul,south-korea,,South Korea,,,alkohole_wikidata,
Imperial Blue,imperial-blue,imperial-blue,pernod-ricard,,,Pernod Ricard,,alkohole_wikidata,
Jefferson's Bourbon,jeffersons-bourbon,jeffersons-bourbon,united-states|pernod-ricard,,United States,Pernod Ricard,,alkohole_wikidata,
Knappogue Castle Irish Whiskey,knappogue-castle-irish-whiskey,knappogue-castle-irish-whiskey,ireland|castle-brands,,Ireland,Castle Brands,,alkohole_wikidata,
McAfee's Benchmark,mcafees-benchmark,mcafees-benchmark,kentucky|sazerac-company,,Kentucky,Sazerac Company,,alkohole_wikidata,
McDowell's No.1,mcdowells-no-1,mcdowells-no-1,,,,,,alkohole_wikidata,
Morrissey Fox,morrissey-fox,morrissey-fox,,,,,,alkohole_wikidata,
National Association of Cider Makers,national-association-of-cider-makers,national-association-of-cider-makers,,,,,,alkohole_wikidata,
J&W Nicholson & Co,j-w-nicholson-co,j-w-nicholson-co|j-w-nicholson|j-and-w-nicholson-and-co|j-and-w-nicholson-and,,,,,,alkohole_wikidata,
Leblon Cachaça,leblon-cachaca,leblon-cachaca,brazil,,Brazil,,,alkohole_wikidata,
James Squire,james-squire,james-squire,,,,,,alkohole_wikidata,
Old Rip Van Winkle,old-rip-van-winkle,old-rip-van-winkle,kentucky|sazerac-company,,Kentucky,Sazerac Company,,alkohole_wikidata,
Peter Scot,peter-scot,peter-scot,india|khoday-group,,India,Khoday Group,,alkohole_wikidata,
Red Knight,red-knight,red-knight,india|khoday-group,,India,Khoday Group,,alkohole_wikidata,
Rowson's Reserve,rowsons-reserve,rowsons-reserve,india|diageo,,India,Diageo,,alkohole_wikidata,
Royal Challenge,royal-challenge,royal-challenge,united-spirits-limited,,,United Spirits Limited,,alkohole_wikidata,
Royal Stag,royal-stag,royal-stag,india|pernod-ricard,,India,Pernod Ricard,,alkohole_wikidata,
NT Draught,nt-draught,nt-draught,beer,beer,,,,alkohole_wikidata,
Swan,swan,swan,beer|australia|swan-brewery,beer,Australia,Swan Brewery,,alkohole_wikidata,
West End Draught,west-end-draught,west-end-draught,beer,beer,,,,alkohole_wikidata,
Worthington's White Shield,worthingtons-white-shield,worthingtons-white-shield,molson-coors-brewing-company,,,Molson Coors Brewing Company,,alkohole_wikidata,
Pure Blonde,pure-blonde,pure-blonde,,,,,,alkohole_wikidata,
Off Color Brewing,off-color-brewing,off-color-brewing|off-color,,,,,,alkohole_wikidata,
SGC,sgc,sgc,,,,,,alkohole_wikidata,
New Holland Brewing Company,new-holland-brewing-company,new-holland-brewing-company|new-holland-brewing|new-holland,,,,,,alkohole_wikidata,
Janssen and Bechly Brewery,janssen-and-bechly-brewery,janssen-and-bechly-brewery|janssen-and-bechly,,,,,,alkohole_wikidata,
Harviestoun Brewery,harviestoun-brewery,harviestoun-brewery|harviestoun,,,,,,alkohole_wikidata,
Pete's Brewing Company,petes-brewing-company,petes-brewing-company|petes-brewing|petes,,,,,,alkohole_wikidata,
Keystone,keystone,keystone,,,,,,alkohole_wikidata,
Private Stock,private-stock,private-stock,haffenreffer-brewery,,,Haffenreffer Brewery,,alkohole_wikidata,
National Bohemian,national-bohemian,national-bohemian,,,,,,alkohole_wikidata,
